text,class
"Когда Телянин кончил завтрак, он вынул из кармана шаровар несколько золотых и положил на этот последний шаг.",generated
"На другой день, во время молебствия во дворце по случаю дня рождения государя, князь Волконский был вызван из церкви и получил конверт от князя Кутузова.",original
Но и этого он не может сделать.,original
"И лицо его было страшно и жалко, особенно по бессильному желанию казаться спокойным.",original
"- сказал Болконский, оживляясь и при искусственном освещении.",generated
"Он отдал лошадей солдату, мешавшему в котелке, и на свет Божий выходить не хочется».",generated
"Граф из-за хрусталя, бутылок и ваз с фруктами поглядывал на барина, с которым она певала, и прислушалась к тому, что считается большинством людей высшим благом мира.",generated
"1-го сентября совершенно свободно разрешать вопрос этот, подобны штукатурам, которых бы приставили заштукатурить одну сторону стены церкви и получил название.",generated
- Ah!,original
"Эти три сборища, шедшие вместе, - кавалерийское депо, депо пленных и обоз Жюно, - все еще составляли что-то отдельное и цельное, хотя и то, и другое, и третье быстро таяло.",original
"И начиная с французской революции разрушается старая, недостаточно великая группа; уничтожаются старые привычки и предания; вырабатываются, шаг за шагом, группа новых размеров, новые привычки и предания, и приготовляется тот человек, который должен стоять во главе будущего движения и нести на себе всю ответственность имеющего совершиться.",original
Пьер обратил на это решиться.,generated
"И радостное и вместе жалкое, просящее прощения за свою радость, выражение остановилось на лице Наташи.",original
"Граф Растопчин не в состоянии рассказать все, что от этого стыда и горя, и теперь или никогда пришло время доказать, что я не хочу.",generated
"- Но особенно хорошо, - сказал он вдруг, обращаясь к Алпатычу:",generated
"Что вы делаете?""",original
"- Quartire, quartire, logement, - сказал Кутузов, подписывая последнюю бумагу, и, тяжело вздохнув, опустила глаза.",generated
А это я взял?,generated
"Хотя слова приказа Бонапарта своей армии перед началом кампании, и слова и сказала Наташе.",generated
"– сказал князь Андрей, – отец не пускает ее без себя, а все силы душевные ее были уверены, глядя на ее вопрос отвечал движением головы и губ, которое означало самую плохую надежду для больного.",generated
- Да ты можешь ли ты быть не влюблена в него.,generated
"Но Пьер не знал того, что он прислонился к двери балкона.",generated
"Тот же, который есть предмет метафизики.",generated
Какая-то женщина вышла из света и что наш дорогой больной?,generated
"- Наташа, я тебе в двух расстояния, виднелись в колеблющемся тумане толпы народа.",generated
"Все, кроме его, грустные и оскорбленные, разъехались и только долго после могли притти в прежнее притворство равнодушия.",original
"– Скажи, что я служу потому, что он пишет, французы разбиты, при какой это реке?",generated
"Теперь наступила решительная минута сражения, которая должна была мне сохранить ее верность князю Андрею, который встал и кликнул солдата с лошадьми.",generated
- И народу что страсть!,original
"Нет, решительно я не должен подъезжать к нему.",original
"32 Сказав эти слова взволнованным голосом, государь вдруг повернулся, как бы желая скрыть от Мишо выступившие ему на глаза слезы, и прошел в глубь своего кабинета.",original
"На крыльце и дожидаясь виконта, которого он так глубоко презирал семь лет тому назад.",generated
Слышали подвиг Раевского?,original
Торжковская торговка визгливым голосом предлагала свой товар и в особенности козловые туфли.,original
"Нет, дружок, - продолжал он, - вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша.",original
"     – Il faut absolument que vous veniez me voir, [  Необходимо нужно, чтоб вы приехали повидаться со мною,]  – сказала она ему таким тоном, как будто по некоторым соображениям, которые он не мог знать, это было совершенно необходимо.",original
Но волк пошел кустами и ни без одного зуба и волоса.,generated
"""Умереть, чтобы меня убили завтра, чтобы меня не было... чтобы все это было, а меня бы не было"".",original
"- Ложись, голубушка, ложись, мой дружок, - сказала графиня, слегка дотрогиваясь рукой до плеча Наташи.",original
"- смеялся другой на изгибающихся ополченцев, входивших на батарею за раненым.",original
"Непринадлежание ее никому и отсутствие имени и даже породы, даже определенного цвета, казалось, нисколько не затрудняло лиловую собачонку.",original
"Вся жизнь представилась ему волшебным фонарем, в который он долго смотрел сквозь стекло и при искусственном освещении.",original
"- Vous avez compris, mon enfant, 23 сказал учитель.",original
- повторил он со вздохом.,original
